{1310,"Camie","Mays","Carrollton"}
{1960,"Ross","Anthony","Modesto"}
{615,"Jed","Grimes","Clarksville"}
{1736,"Britany","Woodard","Plano"}
{410,"Lenard","Mcclure","Cedar Rapids"}
{1564,"Gerald","Adkins","El Paso"}
{127,"Darius","Pitts","Green Bay"}
{875,"Lawrence","Vaughan","Grand Prairie"}
{1026,"Chris","Rocha","Norwalk"}
{1618,"Arthur","Moreno","Des Moines"}
{35,"Ivory","Alfaro","Garden Grove"}
{186,"Jeannine","Mcmillan","Bakersfield"}
{1883,"Dusty","Berry","Tyler"}
{1084,"An","Schmitt","Albuquerque"}
{284,"Sheryll","Khan","St. Louis"}
{62,"Mindy","Neal","Peoria"}
{645,"Hung","Truong","Bridgeport"}
{400,"Von","Fox","Ontario"}
{594,"Sherell","Patton","Springfield"}
{554,"Fred","Griffith","Clarksville"}
{141,"Lyndsey","Maynard","Rockford"}
{1005,"Renna","Case","Pearland"}
{1530,"Karren","Huber","Tallahassee"}
{332,"Carlton","Wilkinson","Brownsville"}
{1471,"Valentine","Guerra","Newark"}
{395,"Lynwood","Cantrell","Pasadena"}
{92,"Booker","Hanson","Stockton"}
{164,"Willette","Farrell","Omaha"}
{1584,"Carley","Odonnell","Cambridge"}
{1007,"Eloy","Galindo","Hartford"}
{389,"Olympia","West","Palm Bay"}
{583,"Andree","Coleman","Chandler"}
{1910,"Nicholas","Saunders","Thornton"}
{1797,"Vicente","Garrett","Chandler"}
{1567,"Verena","Parks","San Jose"}
{1257,"Raymond","Mayo","St. Louis"}
{1293,"Elene","Snyder","Newark"}
{548,"Ashley","Pace","Detroit"}
{1815,"Rick","Arias","Winston–Salem"}
{401,"Barrett","Galindo","Miami"}
{654,"Josefine","Salgado","Kansas"}
{1107,"Sergio","Gallagher","Pasadena"}
{866,"Ethel","Yates","Riverside"}
{881,"Ira","Briggs","Colorado Springs"}
{630,"Melisa","Rhodes","Midland"}
{1557,"Demetra","Holt","Las Vegas"}
{60,"Steven","Guerra","Murrieta"}
{878,"Herta","Arias","Miami"}
{1625,"Jae","Christian","Sandy Springs"}
{67,"Rudy","Morrison","Tulsa"}
{265,"Madaline","Daniels","Seattle"}
{1712,"Tiny","Wolf","Mesa"}
{1046,"Marianna","Barber","Downey"}
{612,"Marybeth","Schwartz","Jackson"}
{1994,"Tisa","Leach","Wilmington"}
{53,"Eli","Baxter","Mesa"}
{1652,"Mui","Hartman","Chattanooga"}
{390,"Williams","Mcfarland","Gainesville"}
{1682,"Chas","Holt","West Palm Beach"}
{1858,"Jovan","Rose","Tyler"}
{1833,"Melynda","Lopez","South Bend"}
{315,"Gala","Sawyer","Waterbury"}
{1213,"Ria","Parker","Peoria"}
{37,"Nena","Mclaughlin","Pueblo"}
{342,"Les","Mayer","Salem"}
{1128,"Teodoro","Luna","Miramar"}
{1823,"Harlan","Elliott","San Francisco"}
{1362,"Matha","Crane","Buffalo"}
